id,created,key,summary,project_id,assignee_id,creator_id,overall_worklogs
819855,2019-10-03 18:33:13.000,SM-10718,Настроить процессы для всей команды,5,1,207,27600
819852,2019-10-04 02:51:20.000,SM-10719,Написать резюме по встрече с кастомерами,5,54,54,18000
819850,2019-10-04 05:12:40.000,SM-10720,Подготовить тестовую среду.,5,94,94,23400
819848,2019-10-04 05:13:27.000,SM-10721,Переписать тесты для фиксированных зон,5,94,94,15300
819846,2019-10-04 05:15:53.000,SM-10722,Переписать тесты для тарифицированных зон,5,94,94,21600
819832,2019-10-07 12:12:26.000,SM-10728,Сделать превью иконки при вводе ссылки в настройки тарифа для клиентов,5,207,54,9600
819827,2019-10-07 18:00:18.000,SM-10730,DemirPrepareActivity.java line 115,5,1,1,7200
819822,2019-10-07 18:50:59.000,SM-10732,RealConnection.java line 304,5,1,1,7200
819821,2019-10-08 03:56:08.000,SM-10733,Отписать пост-мортем по проблеме с зонами доплат 1-го октября,5,54,54,7200
819816,2019-10-08 05:01:58.000,SM-10734,WaitCarFragment.kt line 205,5,1,1,7200
819813,2019-10-08 05:04:06.000,SM-10735,PushNotificationReceiver.java,5,1,1,19800
819811,2019-10-08 05:09:20.000,SM-10736,TariffsVM.kt,5,1,1,3600
819808,2019-10-08 05:21:02.000,SM-10737,HistoryMenuFragment.kt line 154,5,1,1,3600
819802,2019-10-08 06:09:07.000,SM-10740,PushNotificationReceiver.java line 41,5,1,1,1800
819791,2019-10-08 06:17:44.000,SM-10745,EditFavorite.java line 202,5,1,1,5400
819788,2019-10-08 06:20:30.000,SM-10746,OsSharedRealm.java,5,1,1,7200
819786,2019-10-08 06:22:50.000,SM-10747,PushNotificationReceiver.java line 50,5,1,1,3600
819782,2019-10-08 06:26:15.000,SM-10749,PushNotificationReceiver.java line 78,5,1,1,1800
819781,2019-10-08 06:27:35.000,SM-10750,PushNotificationReceiver.java line 85,5,1,1,1800
819780,2019-10-08 06:29:20.000,SM-10751,Binder.java,5,1,1,10800
819779,2019-10-08 08:25:25.000,SM-10752,"Не работает раздел ""Помощь"" на стейдже",5,93,93,10800
819778,2019-10-08 09:08:26.000,SM-10753,Коммуникация и non-coding time (Sprint 71),5,1,54,84000
819777,2019-10-08 10:37:08.000,SM-10754,Выставить select_for_update профиля водителя при работе с биллингом,5,1,1,7200
819776,2019-10-09 04:41:27.000,SM-10755,Протестовать отображения конечной цены в клиентской приле,5,94,94,3600
819775,2019-10-09 11:20:56.000,SM-10756,EditFavorite.java line 202,5,1,1,3600
819770,2019-10-09 14:52:02.000,SM-10759,Поресерчить задание изучить FireRemoteConfig,5,94,94,5400
819768,2019-10-09 14:53:52.000,SM-10760,Подключить FireRemoteConfig и создать окно обновления.,5,94,94,35100
819765,2019-10-09 14:54:58.000,SM-10762,Покрыть тестами RemoteConfig в водительской приле,5,94,94,18000
819763,2019-10-10 04:46:30.000,SM-10763,Собрать и передать Аэропорт такси,5,8,8,9000
819761,2019-10-10 04:56:31.000,SM-10764,Изменить дизайн водительского приложения Aeroport-taxi,5,94,54,19800
819759,2019-10-10 05:06:12.000,SM-10765,Изменить акцентные цвета приложения с золотого на голубой,5,94,54,18000
819756,2019-10-10 07:45:12.000,SM-10767,правки по aeroport.swift.kg  ,5,1,1,3000
819754,2019-10-10 10:09:00.000,SM-10768,Поднять и передать апк DemoTaxi ,5,8,8,3000
819751,2019-10-10 11:07:57.000,SM-10769,"Переписать расчет стоимости заказов с учетом НДС, НСП и комиссии ( taxi-dashboard )",5,264,264,110640
819750,2019-10-11 03:08:47.000,SM-10770,Выдать Бекжану досутпы до демки такси,5,54,54,600
819744,2019-10-12 02:57:05.000,SM-10774,Падение прода (11 октября),5,54,54,7800
819742,2019-10-13 07:24:56.000,SM-10775,Исправление проблем со входом в водительское приложение. ,5,82,82,7200
819737,2019-10-14 10:24:36.000,SM-10777,Настроить VPN для Алии,5,1,54,3300
819734,2019-10-14 16:24:04.000,SM-10779,Пофиксить открытие окна оповещения при активном заказе. ,5,94,94,15300
819732,2019-10-15 05:15:31.000,SM-10780,Создать G-Suit на аккаунте таксистов,5,54,54,5400
819730,2019-10-15 05:54:11.000,SM-10781,"Завести аккаунт разработчика в AppStore и Play Market для релиза службы ""Такси 37""",5,54,54,1200
819728,2019-10-15 06:13:47.000,SM-10782,Тестирование NambaTaxi Client Android 5.2.53,5,54,54,32100
819726,2019-10-15 06:17:56.000,SM-10783,Тестирование NambaTaxi Driver 0.4.30,5,54,54,6000
819723,2019-10-15 06:22:22.000,SM-10784,Тестирование NambaTaxi Client iOS 4.31.26 (20),5,206,54,26100
819718,2019-10-15 08:59:43.000,SM-10785,"Коммуникация, Non-coding, Дежурства админов (Sprint 72-73)",5,1,54,219600
819716,2019-10-15 13:29:10.000,SM-10786,Проблемы в  работе операторской ,5,82,82,7200
819713,2019-10-16 04:57:00.000,SM-10788,Проверить почему iOS события не поступают в список ивентов в Firebase analytics и исправить,5,93,8,19800
819711,2019-10-16 06:55:09.000,SM-10789,Переписать завершение заказа (taxi-billing),5,1,1,13500
819706,2019-10-17 06:46:19.000,SM-10793,"Переписать расчет стоимости заказов с учетом НДС, НСП и комиссии ( taxi-corp-site )",5,264,264,9000
819705,2019-10-17 07:15:59.000,SM-10794,"Обновление ""Отчета по поездкам сотрудников"" (taxi-corp-site)",5,1,1,101220
819703,2019-10-17 08:24:57.000,SM-10795,Протестовать ios client прилу по чек листу.,5,94,94,10800
819701,2019-10-17 08:26:23.000,SM-10796,Протестовать ручками водительскую прилу (Airoport taxi) приложения.,5,94,94,19800
819699,2019-10-17 08:29:16.000,SM-10797,Протестить дополнительную плату за опции.,5,94,94,6300
819697,2019-10-17 08:39:18.000,SM-10798,Добавить расчет корректировки (taxi-corp-site),5,1,1,7200
819694,2019-10-17 09:55:08.000,SM-10800,Тестирование NambaTaxi Client Android 5.2.53(148) (Staging),5,1,54,11400
819692,2019-10-17 12:26:47.000,SM-10801,Дежурство Nambataxi,5,82,82,17400
819687,2019-10-18 08:32:54.000,SM-10803,Сгенерировать .cer сертификат на сетйжинг iOS NT client,5,8,8,900
819684,2019-10-18 12:56:48.000,SM-10805,Решение проблем со службой aeroporttaxi,5,82,82,9600
819681,2019-10-21 06:15:22.000,SM-10806,"При удалении личных данных из профиля приложения, данные все равно остаются (android клиент)",5,207,93,15600
819679,2019-10-21 06:16:43.000,SM-10807,Протестировать Клиентское приложение(IOS) стейжинг,5,1,1,9900
819677,2019-10-21 06:18:09.000,SM-10808,Протестировать Водительское Приложение,5,1,1,9000
819675,2019-10-21 06:26:28.000,SM-10809,"При пополнении счета на очень крупную сумму, приложение крашится android клиент",5,1,93,7200
819673,2019-10-21 06:31:26.000,SM-10810,В разделе помощь ссылки на смс не полностью активны (android клиент),5,1,93,9000
819672,2019-10-21 06:32:44.000,SM-10811,"Не работает раздел ""Тур по приложению"" (android клиент)",5,1,93,14400
819671,2019-10-21 06:58:00.000,SM-10812,Не работают default значения в проверке обновления Remote Config (Android Client),5,94,94,8100
819666,2019-10-21 09:35:54.000,SM-10814,Не меняется язык при смене языка и ночного режима (Driver Taxi Android). ,5,94,94,31500
819665,2019-10-21 11:40:06.000,SM-10815,Тестирование по чеклисту android клиентского приложения и android водительского приложения,5,93,93,7200
819663,2019-10-21 12:00:18.000,SM-10816,Добавить проверку на почту в Клиентском приложение NT(Staging),5,1,1,7200
819661,2019-10-21 16:53:42.000,SM-10817,Протестовать водительскую прилу (По чек листу).,5,94,94,12600
819659,2019-10-21 17:04:21.000,SM-10818,Протестить Airoport taxi (по чек листу) .,5,94,94,5400
819655,2019-10-22 09:44:53.000,SM-10820,Проблема при выгрузке отчетов корп компаний,5,1,54,66000
819653,2019-10-22 10:54:09.000,SM-10821,Создать фиксированное поля ближайшего заказа в водительском приложении,5,94,54,43200
819651,2019-10-22 12:00:58.000,SM-10822,При отсутствии интернета накадывается тескст на статус бар в клиентском iOS приложении,5,93,54,21600
819649,2019-10-22 12:13:12.000,SM-10823,Структурировать документацию в папке Mad Devs (Documentation),5,54,54,5100
819639,2019-10-23 04:19:11.000,SM-10829,При открытии экрана для аплоадинга фотографий через галерею смартфона в чат Зендест - статус бар не виден,5,1,1,600
819636,2019-10-23 04:26:24.000,SM-10830,"нужно проверить пуши по чату из зендеска, возможно они не приходят. Также внутренних пушей по зендеску тоже нет.",5,94,1,4500
819634,2019-10-23 04:29:01.000,SM-10831,2 пина на карте в клиентском приложении iOS,5,93,1,25200
819633,2019-10-23 04:30:06.000,SM-10832,Android Постоянно отображается бадж о a прочитанном сообщении от Зендеск.  ,5,8,1,5400
819631,2019-10-23 04:32:28.000,SM-10833,На экране ввода кода активации для регистрации неправильно указан номер службы поддержки.,5,1,1,5400
819629,2019-10-23 04:35:30.000,SM-10834,После успешной регистрации нет автоматического определения местоположения.,5,94,1,5100
819625,2019-10-23 04:38:50.000,SM-10836,При аплоадинге аватарки через камеру смартфона - аплоад сделанной фотографии отображается в перевернутом виде.,5,94,1,20700
819623,2019-10-23 04:41:08.000,SM-10837,"На экране регистрации \ ввода номера телефона кнопка ""Public offer"" визуально отображена не кликабельной",5,1,1,5400
819621,2019-10-23 04:43:26.000,SM-10838,На экранах регистрации - ввода номера телефона \ подтверждения регистрации не переведены заголовки на английский язык,5,1,1,3600
819617,2019-10-23 04:48:48.000,SM-10840,В клиентском приложении не обрабатывается статусы заказа от водителя,5,1,1,7200
819616,2019-10-23 04:49:48.000,SM-10841,"Если оформить заказ и указать пины От и До, при статусе ""Машина в пути"" на карте отображаются все свободные машинки, когда должна отображаться та, которая взяла заказ.",5,1,1,7200
819612,2019-10-23 04:53:32.000,SM-10843,"Неправильный часовой пояс в настройках Зендеска, если отправить переписку на почтовый ящик ",5,94,1,26100
819606,2019-10-23 10:35:22.000,SM-10846,Баг с отправкой запроса на  /apiv2/order_status (Client Android) ,5,94,94,5400
819604,2019-10-23 14:19:39.000,SM-10847,Настроить Crashlytics для Airoport taxi,5,94,94,9000
819602,2019-10-24 06:21:56.000,SM-10848,Исправить excel-отчет который выгружается в менеджерской,5,1,54,10800
819596,2019-10-24 14:04:12.000,SM-10851,Пофиксить цвет текста в фиксированном ближайшем заказе. (Driver app) ,5,94,94,10800
819594,2019-10-25 02:54:26.000,SM-10852,"В водительском приложении не отображаются значки ""Требований""",5,1,54,6600
819592,2019-10-25 05:13:16.000,SM-10853,При изменении языка в клиентском приложении тексты в заголовках не переводятся,5,1,1,7200
819590,2019-10-25 13:14:44.000,SM-10854,Исправить ошибку при авто оформлении заказа,5,1,1,1800
819587,2019-10-28 03:57:27.000,SM-10857,"Протестировать фичу автооформления заказов (""сковозных заказов"") на проде",5,54,54,9600
819585,2019-10-28 04:54:18.000,SM-10858,Интеграция с Paybox,5,1,54,30600
819583,2019-10-28 10:53:48.000,SM-10859,Деплой 1го ноября,5,1,1,42300
819579,2019-10-28 15:38:47.000,SM-10861,Написать тесты для взятия заказов из котла (Driver App). ,5,94,94,20700
819578,2019-10-28 15:40:45.000,SM-10862,Добавить моканые данные заказа (Driver App).,5,94,94,16200
819576,2019-10-28 15:42:02.000,SM-10863,Написать UI тесты для окон заказов (Driver App). ,5,94,94,27000
819574,2019-10-29 04:36:57.000,SM-10864,Протестировать Клиентское приложение IOS(прод) v4.31.26,5,1,1,9000
819567,2019-10-29 11:28:10.000,SM-10869,Передать SMM Намбы Аймарал количество скачиваний наших клиентских приложений за сентябрь 2019,5,207,54,2700
819564,2019-10-29 11:28:48.000,SM-10870,Автоматическое считыванение смс при логине в клиентское приложение андроида,5,1,8,61800
819562,2019-10-30 04:23:42.000,SM-10871,Поправить выгрузку отчета по шаблону предоставленным Чолпон,5,1,54,9000
819560,2019-10-30 05:32:55.000,SM-10872,При вводе суммы больше 10^20 не правильное сообщение,5,93,1,3600
819558,2019-10-30 05:42:09.000,SM-10873,"В профиле язык приложения остается неизменным, хотя язык приложения другой",5,93,1,3600
819556,2019-10-30 05:48:30.000,SM-10874,В клиентском приложении NT(IOS) не переведены на английский,5,93,1,4800
819554,2019-10-30 05:49:21.000,SM-10875,"Взимать оплату с клиента за платное ожидание после 1ой секунды с момента активации кнопки ""Включить ожидание"" в водительском приложении",5,94,54,4800
819550,2019-10-30 07:06:48.000,SM-10877,Релиз NambaTaxi Client iOS 4.31.27,5,93,54,600
819546,2019-10-30 12:08:13.000,SM-10879,Релиз NambaTaxi Client Android 5.2.54,5,94,54,18900
819544,2019-10-31 03:09:41.000,SM-10881,Обновить роадмап,5,54,54,3300
819543,2019-10-31 05:32:43.000,SM-10882,увеличить разделы /var/lib/mysql на mysql1 mysql2 ,5,1,1,28800
819540,2019-10-31 07:32:21.000,SM-10883,Поднять версию в водительской приле с 0.4.29 на 0.4.30,5,1,8,300
819538,2019-10-31 09:57:17.000,SM-10884,Написать ТЗ на оформление заказа с несколькими машинами.,5,264,264,16920
819536,2019-10-31 11:36:03.000,SM-10885, Описать openapi для taxi_booking,5,264,207,128280
819533,2019-11-01 05:27:49.000,SM-10887,Предоставить анализ покрытия тестов в мобильных приложениях,5,94,54,3000
819529,2019-11-01 11:06:39.000,SM-10889,Изучить Pipeline,5,1,1,7200
819526,2019-11-01 11:10:55.000,SM-10890,Фидбек по смене статуса заказа в NT client android 5.2.53(150),5,8,8,5400
819525,2019-11-04 05:41:50.000,SM-10891,Написать тест для автоматического считывания кода подтверждения,5,1,1,25200
819523,2019-11-04 05:46:30.000,SM-10892,505 ошибка при выгрузке отчета,5,1,1,3000
819521,2019-11-04 09:55:34.000,SM-10893,Подготовка и выключение G2 и backup-server для переезда в другую комнату,5,82,1,20100
819519,2019-11-04 13:27:07.000,SM-10894,У борта не обновился баланс,5,1,207,39000
819516,2019-11-04 14:37:29.000,SM-10895,Настроить тесты и проект для Pipeline. (Driver App),5,94,94,216900
819513,2019-11-05 03:36:30.000,SM-10896,Настроить Piplines в клиентской андроида,5,94,8,147600
819510,2019-11-05 07:12:57.000,SM-10897,Поменять окно в пути. Добавить навигатор (Driver App).,5,94,94,125100
819507,2019-11-05 07:38:08.000,SM-10898,"Предложение перехода на тариф ""Час Пик""",5,264,1,87060
819505,2019-11-05 07:38:12.000,SM-10899,Не правильно считаются отчеты по корп поездкам,5,1,207,9000
819502,2019-11-05 08:01:31.000,SM-10901,Изучить GitLab runner,5,1,1,7200
819499,2019-11-06 02:29:50.000,SM-10902,"Коммуникация, Non-coding, Дежурства админов (Sprint 75)",5,1,54,84000
819494,2019-11-06 07:14:24.000,SM-10905,ProgressDialog is deprecated,5,1,1,9000
819492,2019-11-06 08:48:28.000,SM-10906,UpdateConfiguration is deprecated,5,1,1,7200
819489,2019-11-06 11:03:56.000,SM-10907,HistoryMenuFragment.kt deprecated progressDialog и Locale,5,1,1,3600
819487,2019-11-06 16:18:48.000,SM-10908,Изучить как настроить pipeline,5,1,1,3600
819484,2019-11-07 07:32:09.000,SM-10910,Настроить мониторинг коннектов на дашбордах ss -ln | grep 8080,5,82,82,14400
819483,2019-11-07 10:22:59.000,SM-10911,Написать документацию по созданию и отзыву ключей для openvpn,5,82,82,1800
819481,2019-11-07 13:05:15.000,SM-10912,На дашбордах висят такие процессы dirmngr --daemon --homedir /tmp/apt-key-gpghome.f8mEMOFRoF,5,1,82,3600
819479,2019-11-08 02:18:53.000,SM-10913,Добавить Alert подтверждения при нажатии на кнопку ложный заказ (Driver App),5,94,94,5400
819476,2019-11-08 10:31:40.000,SM-10915,Предоставить host gitlab runner с поддержкой виртуализации,5,1,207,41400
819474,2019-11-08 16:53:40.000,SM-10916,Настроить отображения сообщений из gitlab и firebase crash analytics в слак.,5,94,94,6600
819472,2019-11-11 06:22:38.000,SM-10917,Баг смена статута водителя при отмене заказа из клиентского приложения (Driver App).,5,207,94,25800
819470,2019-11-11 07:19:21.000,SM-10918,"В клиентской андроида статусы На борту, на месте, в пути не меняются",5,8,8,21600
819468,2019-11-11 16:56:48.000,SM-10919,При отмене заказа в клиентском приложении таймер поиска машины не сбрасывается (Client App),5,94,94,11700
819467,2019-11-12 04:44:57.000,SM-10920,Настройка пайплайна для iOS клиентского приложения,5,93,93,27600
819459,2019-11-12 17:26:31.000,SM-10926,Обработка фитбеков от Айсалкын во время тестирования водительской прилы.,5,94,94,11700
819456,2019-11-13 02:41:00.000,SM-10927,"Коммуникация, Non-coding, Дежурства админов (Sprint 76)",5,1,54,117300
819452,2019-11-13 05:41:13.000,SM-10929,Не отображать в водительском приложении километраж до заказов которые не были автооформлены ,5,207,54,3600
819445,2019-11-14 08:44:56.000,SM-10935,"Прерывается соединение, не подгружается адрес в клиентском приложении",5,1,54,7200
819432,2019-11-15 11:21:25.000,SM-10942,Рефакторинг кода - вынести действия при нажатии на кнопки в отдельную модель,5,93,93,3600
819430,2019-11-15 12:02:40.000,SM-10943,Рефакторинг кода - вынести в отдельную модель все алерты,5,93,93,10800
819428,2019-11-15 12:10:52.000,SM-10944,Рефакторинг кода - вынести реализации функций в расширения MainViewController: MainDelegate в отдельный класс модели,5,93,93,50400
819426,2019-11-15 12:17:41.000,SM-10945,Рефакторинг кода - вынести реализации функций в расширения MainViewController: MGLMapViewDelegate в отдельный класс модели,5,93,93,7200
819424,2019-11-15 12:21:24.000,SM-10946,Рефакторинг кода - вынести реализации функций в расширения MainViewController: CLLocationManagerDelegate в отдельный класс модели,5,93,93,3600
819422,2019-11-15 12:24:13.000,SM-10947,"Рефакторинг кода - вынести реализации функций в расширения MainViewController: UICollectionViewDelegate, UICollectionViewDataSource, UICollectionViewDelegateFlowLayout в отдельный класс модели",5,93,93,1800
819420,2019-11-15 12:29:43.000,SM-10948,Рефакторинг кода - вынести реализации функций в расширения MainViewController: MainCardViewDelegate в отдельный класс модели,5,93,93,3600
819418,2019-11-15 14:18:11.000,SM-10949,Рефакторинг кода - дальнейшая оптимизация кода класса MainViewController,5,93,93,21600
819416,2019-11-16 03:32:31.000,SM-10950,Рефакторинг - изучить код и расписать таски,5,93,93,7200
819415,2019-11-18 03:55:45.000,SM-10951,Настройка gitlab-runner для запуска android тестов,5,207,207,19800
819413,2019-11-18 05:26:42.000,SM-10952,Обновить индекс адресов для геокодинга,5,207,207,17400
819409,2019-11-18 07:21:06.000,SM-10954,Убрать рандомный корп.код на дашборде корп сайта,5,1,1,14400
819398,2019-11-18 16:01:57.000,SM-10961,Реализовать фичу предложения для пользователя поменять заказ (Client App),5,94,94,31500
819396,2019-11-19 07:33:30.000,SM-10962,Предоставить данные по СМС сообщениям Beeline для Ксении,5,82,54,9900
819389,2019-11-19 09:24:15.000,SM-10965,"Коммуникация, Non-coding, Дежурства админов (Sprint 77)",5,1,54,77100
819385,2019-11-20 12:09:23.000,SM-10968,Проблемы на проде - Зависания в операторской,5,54,54,23100
819380,2019-11-23 10:10:40.000,SM-10972,Поворот изображения в профиле при съемки с камеры (Client App Android),5,94,94,12600
819374,2019-11-25 08:48:53.000,SM-10975,В акте сверки неправильно считается итоговая сумма у компании с корп кодом 1013,5,1,1,12600
819373,2019-11-25 08:50:10.000,SM-10976,В заказе с ID 169923281 не отображается комиссия,5,1,1,2700
819371,2019-11-25 08:53:43.000,SM-10977,Разница в 3 тыйына в подсчете итоговой суммы за поездки (код:1013),5,1,1,1800
819367,2019-11-25 15:16:20.000,SM-10979,Реализовать считыванию смс уведомлений (Client taxi) ,5,94,94,27900
819365,2019-11-26 07:23:01.000,SM-10980,Написать документацию по поднятию проекта NambaTaxi Client App iOS на Xcode,5,8,54,7200
819362,2019-11-26 09:24:22.000,SM-10981,"Коммуникация, Non-coding, Дежурства админов (Sprint 78)",5,1,54,137700
819356,2019-11-26 09:54:34.000,SM-10984,Фича - Предложение смены тарифа (iOS),5,93,54,30600
819353,2019-11-26 11:31:38.000,SM-10986,Получилось создать Автооформленный заказ из истории (Android),5,1,54,8100
819351,2019-11-26 12:34:10.000,SM-10987,Не сохраняется измененная аватарка клиента (Android) ,5,1,54,10500
819349,2019-11-26 13:21:26.000,SM-10989,После создания заказа в приложении начинает считаться таймер поиска машин,5,94,54,6300
819347,2019-11-26 13:33:29.000,SM-10990,Предложение смены тарифа не работает если приложение было свернуто или выгружено,5,94,54,22500
819345,2019-11-27 02:53:05.000,SM-10991,Добавить вариативность карт в настройках водительского приложения,5,94,207,13500
819343,2019-11-27 06:23:38.000,SM-10992,Настроить ci/cd для taxi-tracking,5,207,207,30600
819340,2019-11-28 03:26:44.000,SM-10994,Написать документацию работы фичи,5,54,54,2700
819337,2019-11-29 07:06:31.000,SM-10996,Fatal Exception: java.lang.SecurityException getSerial: The user 10173 does not meet the requirements to access device identifiers.,5,94,94,10800
819335,2019-12-02 04:00:37.000,SM-10997,Собирать координаты водителей в elasticsearch,5,207,207,45600
819333,2019-12-02 06:14:58.000,SM-10998,Разработать защиту Заря-такси от брутфорса,5,82,54,59100
819331,2019-12-02 07:14:16.000,SM-10999,"Переписать отчет ""Баланс водителей за месяц"" отрабатывающий по крону",5,1,54,1200
819329,2019-12-03 06:33:41.000,SM-11000,Релиз NambaTaxi Client Android 5.2.57,5,94,94,25200
819326,2019-12-03 08:37:08.000,SM-11001,Релиз NambaTaxi Driver Android 0.4.31,5,94,94,12900
819323,2019-12-03 14:08:17.000,SM-11002,"Коммуникация, Non-coding, Дежурства админов (Sprint 79)",5,1,54,86100
819320,2019-12-04 02:56:25.000,SM-11003,Написать запросы на сохранения координат в driver_backend,5,207,207,29700
819318,2019-12-04 03:11:46.000,SM-11004,Подготовить отчет за спринт 78,5,54,54,6300
819315,2019-12-05 09:13:07.000,SM-11006,Передать телеграм-бота @iihcaoedbot в распоряжение разработчиков,5,116,54,1200
819312,2019-12-05 09:51:04.000,SM-11007,"При использовании Remote Config в клиентской android приле, открывается главный экран",5,94,54,3600
819309,2019-12-05 10:54:54.000,SM-11009,Упал телеграм-бот @iihcaoedbot ,5,1,54,5700
819307,2019-12-06 04:50:23.000,SM-11010,Продолжение отправление запросов на статус поездки после отмены заказа,5,93,93,10800
819304,2019-12-06 08:30:26.000,SM-11011,Маршрут автооформленного заказа указывает в центр города (звездочка),5,1,54,3600
819302,2019-12-09 03:51:32.000,SM-11012,Написать отчет по NambaTaxi за осень,5,54,54,24600
819301,2019-12-09 05:11:41.000,SM-11013,Проверка работы симкарт в GoIP,5,82,82,8400
819299,2019-12-09 06:36:37.000,SM-11014,Перегружается дашборда namba-app3.swift.kg в часы-пик,5,207,54,4800
819297,2019-12-09 10:29:33.000,SM-11015,Не загружается 3д карта при активном заказе (Driver App). ,5,94,94,14400
819293,2019-12-09 12:12:51.000,SM-11017,Придумать решение проблемы автоназаняения,5,207,207,26100
819292,2019-12-10 07:23:44.000,SM-11018,Создать отдельный Slack для NambaTaxi,5,54,54,12900
819290,2019-12-10 07:27:23.000,SM-11019,Протестировать стейджинг после обновления Python 3.6 в taxi-dashboard,5,54,54,10800
819284,2019-12-11 03:23:42.000,SM-11022,"Коммуникация, Non-coding, Дежурства админов (Sprint 80)",5,1,54,89100
819282,2019-12-11 03:25:10.000,SM-11023,Написать отчет по спринту 79,5,54,54,3600
819280,2019-12-11 05:35:42.000,SM-11024,Краш в окне оплаты через Демир (Android Client App),5,94,94,4500
819277,2019-12-11 07:05:15.000,SM-11025,"Поднять службу ""Кол-такси""",5,112,82,22200
819272,2019-12-11 07:15:09.000,SM-11028,Создать репозиторий для хранения кода https://gitlab.com/taxi-hosting/koltaxi,5,82,82,300
819271,2019-12-11 07:17:56.000,SM-11029,Скопировать и адаптировать конфиги https://gitlab.com/taxi-hosting/aeroport для KolTaxi,5,82,82,2400
819269,2019-12-11 07:49:05.000,SM-11030,Провести системные настройки серверов для KolTaxi,5,82,82,7200
819267,2019-12-11 07:51:02.000,SM-11031,Сделать в https://sentry.swift.kg/sentry/ новый проект для Koltaxi и натравить сервисы на него.,5,82,82,2400
819265,2019-12-11 07:52:27.000,SM-11032,Настроить ДНС для koltaxi.swift.kg,5,82,82,4200
819260,2019-12-11 07:55:47.000,SM-11036,Установить gitlab-runner на сервер executor shell,5,82,82,3600
819258,2019-12-11 07:57:26.000,SM-11037,Задеплоить службу такси koltaxi.swift.kg,5,291,82,27000
819256,2019-12-11 07:58:36.000,SM-11038,Провести первоначальную настройку службы,5,291,82,900
819253,2019-12-11 08:00:18.000,SM-11039,Поменять логотип службы для KoltaxiTaxi,5,291,82,3600
819251,2019-12-11 08:01:38.000,SM-11040,Подключить к мониторингу KolTaxi,5,291,82,16200
819250,2019-12-11 08:02:44.000,SM-11041,Настроить бэкапы для koltaxi.swift.kg,5,291,82,9000
819246,2019-12-11 08:05:58.000,SM-11043,Подключить freeswitch koltaxi.swift.kg к операторам,5,112,82,12600
